Role_type,login,password
ADMIN,admin@healthcare.com,admin123
PATIENT ADVOCATES,advocate@healthcare.com,admin123
PATIENT ADVOCATES,advocate2@healthcare.com,admin123
PATIENT ADVOCATES,advocate3@healthcare.com,admin123
PATIENT ADVOCATES,advocate4@healthcare.com,admin123
PATIENT ADVOCATES,advocate5@healthcare.com,admin123
PATIENT ADVOCATES,advocate6@healthcare.com,admin123
PATIENT ADVOCATES,advocate7@healthcare.com,admin123
PATIENT ADVOCATES,advocate8@healthcare.com,admin123
PATIENT ADVOCATES,advocate9@healthcare.com,admin123
PATIENT ADVOCATES,advocate10@healthcare.com,admin123
COLLECTIONS,collections@healthcare.com,admin123
COLLECTIONS,collections2@healthcare.com,admin123
COLLECTIONS,collections3@healthcare.com,admin123
COLLECTIONS,collections4@healthcare.com,admin123
COLLECTIONS,collections5@healthcare.com,admin123
VENDOR,vendor@healthcare.com,admin123 
